# Every function start in the executable, named or not - generated from the Ghidra decompile.
# Needed so an address can be attributed to the function that actually contains it: symbols.tsv
# holds only named functions, so the nearest preceding *name* can be thousands of bytes away and
# in a different function entirely.
001067dc	BuildCommand_SetVehicleWrestleCreature
0010683c	BuildCommand_DUMMY_584
00106858	BuildCommand_DUMMY_586
00106888	BuildCommand_BossModeEnable
001068dc	BuildCommand_BossModeDamage
001068f8	BuildCommand_BossModeExit
00106914	BuildCommand_WhackawormStart
0010696c	BuildCommand_WhackawormProgress
00106988	BuildCommand_WhackawormEnd
00106bac	BuildCommand_PlayMovie
00106bf4	BuildCommand_AddAmmo
00106c40	BuildScriptCondition
00106c7c	BuildCondition_Next
00106ca4	BuildCondition_Else
00106cc0	BuildCondition_Random
00106cdc	BuildCondition_IsBusy
00106d30	BuildCondition_FocusIsBusy
00106da0	BuildCondition_TimeInUnit
00106dbc	BuildCondition_IsInExternalScript
00106e10	BuildCondition_ActorSubtypeEquals
00106e64	BuildCondition_SoftFlagSet
00106e80	BuildCondition_GotRoute
00106ed4	BuildCondition_GotKeys
00106ef0	BuildCondition_GotAnyFocus
00106f0c	BuildCondition_GotFocusObject
00106f28	BuildCondition_GotFocusPosition
00106f44	BuildCondition_FocusActorEquals
00106f7c	BuildCondition_FocusHasAttachment
00106fb4	BuildCondition_AnimationFinished
00106fd0	BuildCondition_GetAnimationTimeRemaining
00106fec	BuildCondition_IsPathComplete
00107008	BuildCondition_CurrentKey
00107040	BuildCondition_CurrentKeyEquals
00107078	BuildCondition_XCycle
00107094	BuildCondition_YCycle
001070b0	BuildCondition_ZCycle
001071c8	BuildCondition_MeToFocusSqrDist
001071e4	BuildCondition_DistanceToTarget_Duplicate
00107200	BuildCondition_MeToInitPosSqrDist
0010721c	BuildCondition_MeToCurrentKeySqrDist
00107238	BuildCondition_MeToKeySqrDist
00107270	BuildCondition_SpeedTowardsNextKey
0010728c	BuildCondition_SpeedTowardsKey
001072a8	BuildCondition_BoxAboveIsOverlapped
001072c4	BuildCondition_IsCollidable
001072e0	BuildCondition_IsVisible
001072fc	BuildCondition_IsLoadZoneStateSet
00107318	BuildCondition_GotUserMessageEquals
00107334	BuildCondition_GotAnyUserMessage
0010736c	BuildCondition_InsideEdgeStartNode
00107388	BuildCondition_InsideEdgeEndNode
00107468	BuildCondition_MeFacingFocus
001074bc	BuildCondition_HeadLookingAtFocus
00107510	BuildCondition_SubtypeOfPercept128_1
00107540	BuildCondition_SubtypeOfPercept128_2
00107578	BuildCondition_SubtypeOfPercept128_3
001075b0	BuildCondition_FocusFacingMe
001075cc	BuildCondition_FocusHeadLookingAtMe
001075e8	BuildCondition_ClearLineOfSightToFocus
00107604	BuildCondition_CanSeeFocus
00107620	BuildCondition_HeadCanSeeFocus
0010763c	BuildCondition_FocusAgentCanSeeMe
00107658	BuildCondition_FocusHeadCanSeeMe
00107674	BuildCondition_HeightAboveFocus
0010771c	BuildCondition_MeFacingRouteNode
00107738	BuildCondition_HeadLookingAtRouteNode
00107754	BuildCondition_ClearLineOfSightToRouteNode
00107770	BuildCondition_MeFacingCamera
0010778c	BuildCondition_CameraFacingMe
001077a8	BuildCondition_InCameraFrustrum
001077c4	BuildCondition_ClearLineOfSightToCamera
001077e0	BuildCondition_CameraCanSeeMe
00107850	BuildCondition_AttachedToAnAgent
0010786c	BuildCondition_GotAttachedObject
00107888	BuildCondition_GotLinkedObject
001078dc	BuildCondition_GotAttachmentOnExit
001078f8	BuildCondition_LostAllAttachments
00107930	BuildCondition_TouchingTerrain
0010794c	BuildCondition_TouchingAnyAgent
001079d8	BuildCondition_IsResting
001079f4	BuildCondition_SqrMoveSpeed
00107ad4	BuildCondition_CounterValue
00107af0	BuildCondition_CounterValueEqualsThreshold
00107c44	BuildCondition_DistanceToTarget
00107ec8	BuildCondition_PlayerHitPoints
00107ee4	BuildCondition_CanJumpForwards
00107f00	BuildCondition_WillHitLowWall
00107f1c	BuildCondition_PlayerIsCrouching
00107f38	BuildCondition_MeToPlayerSqrDist
00107f54	BuildCondition_PlayerToMyFocusSqrDist
00107f8c	BuildCondition_PlayerIsMoving
00107fa8	BuildCondition_PlayerIsWalking
00107fc4	BuildCondition_PlayerIsRunning
00107fe0	BuildCondition_PlayerIsCrawling
00107ffc	BuildCondition_PlayerIsFalling
00108018	BuildCondition_PlayerIsCoOpLinked
00108088	BuildCondition_PlayerHoldingMultiTool
001080a4	BuildCondition_PlayerIsSlamming
001080c0	BuildCondition_PlayerIsSpinning
001080dc	BuildCondition_PlayerIsJumping
001080f8	BuildCondition_HeadCanSeePlayerUnblocked
00108114	BuildCondition_PlayerIsGrounded
0010822c	BuildCondition_DemoHubMusicFlag
00108248	BuildCondition_AgentIsOnGround
00108280	BuildCondition_CrateHasRedWumpa
0010829c	BuildCondition_AgentHitPoints
001082b8	BuildCondition_WumpaNeededForPayGate
001082d4	BuildCondition_CanMoveForwards
001082f0	BuildCondition_CanMoveBackwards
0010830c	BuildCondition_CanStrafeLeft
00108328	BuildCondition_CanStrafeRight
00108344	BuildCondition_CanFall
00108360	BuildCondition_AgentWasTouched
0010837c	BuildCondition_AgentWasWalkedInto
00108398	BuildCondition_AgentWasJumpedOn
001083b4	BuildCondition_AgentWasHeadbutted
001083d0	BuildCondition_AgentWasAttacked
001083ec	BuildCondition_AgentWasSpun
00108408	BuildCondition_AgentWasSlid
00108424	BuildCondition_WillHitWall
00108440	BuildCondition_WillRunOffCliff
0010845c	BuildCondition_AgentWasKneeDropped
001085c8	BuildCondition_NodeIsAirborne
0010876c	BuildCondition_EdgeNeedsFlying
00108788	BuildCondition_EdgeNeedsJump
001087a4	BuildCondition_EdgeNeedsLongJump
001087c0	BuildCondition_EdgeNeedsHighJump
001087f8	BuildCondition_MeFacingPlayer
00108814	BuildCondition_PlayerFacingMe
0010884c	BuildCondition_ClearLineOfSightToPlayer
00108868	BuildCondition_CanSeePlayer
00108884	BuildCondition_PlayerCanSeeMe
001088bc	BuildCondition_HeightAbovePlayer
001088d8	BuildCondition_HeadLookingAtPlayer
001088f4	BuildCondition_HeadCanSeePlayer
00108910	BuildCondition_AmIHarmful
0010892c	BuildCondition_PlayerHeadLookingAtMe
00108948	BuildCondition_PlayerHeadCanSeeMe
00108ad0	BuildCondition_NodeTraffic
00108d70	FUN_00108d70
00108e68	FUN_00108e68
00109290	FUN_00109290
00109410	FUN_00109410
00109520	FUN_00109520
00109828	FUN_00109828
00109f10	FUN_00109f10
0010a048	FUN_0010a048
0010a298	FUN_0010a298
0010a380	FUN_0010a380
0010a4b0	FUN_0010a4b0
0010a628	InitInstanceNodeType8
0010a6e8	FUN_0010a6e8
0010a938	FUN_0010a938
0010aa50	FUN_0010aa50
0010b298	FUN_0010b298
0010b790	FUN_0010b790
0010b880	FUN_0010b880
0010c160	InitProbeCollisionModel
0010c240	FUN_0010c240
0010c3b8	FUN_0010c3b8
0010c570	FUN_0010c570
0010c758	FUN_0010c758
0010c880	FUN_0010c880
0010cad8	Command_SetChiChiGrass_Read
0010cba0	FUN_0010cba0
0010cc78	Command_BecomeSticky_Read
0010cdd0	Command_BecomeNormal_Read
0010ce98	FUN_0010ce98
0010d0d0	FUN_0010d0d0
0010d238	FUN_0010d238
0010d358	FUN_0010d358
0010d648	Command_CreateCrateContents_Read
0010d740	FUN_0010d740
0010d9e0	FUN_0010d9e0
0010dac8	FUN_0010dac8
0010def8	Command_CharacterSoundProxy_Read
0010dfb8	Command_CharacterSoundProxy_Run
0010e088	FUN_0010e088
0010e4a8	FUN_0010e4a8
0010e6a8	FUN_0010e6a8
0010ebd8	FUN_0010ebd8
0010edd0	FUN_0010edd0
0010f140	Command_SetCamera_Run
0010f248	Command_CameraFocusObject_Run
0010f368	Command_CameraStopFocusObject_Run
0010f480	FUN_0010f480
0010f6e8	FUN_0010f6e8
0010fb88	Command_PlayerFaceTowardsCamera_Run
0010fdc0	FUN_0010fdc0
001102d0	FUN_001102d0
00110878	FUN_00110878
00110a60	FUN_00110a60
00110c90	FUN_00110c90
00110e00	FUN_00110e00
00110fa8	FUN_00110fa8
00111148	FUN_00111148
001112f8	FUN_001112f8
00111490	FUN_00111490
001116a8	FUN_001116a8
00111838	FUN_00111838
00111a00	FUN_00111a00
00111af0	FUN_00111af0
00111bd8	FUN_00111bd8
00111cc0	FUN_00111cc0
00111e20	FUN_00111e20
00111fd0	Command_CameraTopdownMode_Run
00112190	Command_SetPlayerMode_Read
00112270	Command_FadeoutScreen_Read
00112440	Command_FadeoutScreen_Run
00112548	Command_BottomTextDisplay_Read
00112778	Command_DisplayBottomTextInstance_Read
00112990	Command_DisplayBottomTextInstance_Run
00112a80	Command_PlayMovie_Read
00112b60	FUN_00112b60
00112d20	FUN_00112d20
00112ff8	FUN_00112ff8
001130c0	FUN_001130c0
001132a8	FUN_001132a8
00113a18	FUN_00113a18
00114048	FUN_00114048
00114120	FUN_00114120
00114258	FUN_00114258
00114470	FUN_00114470
00114710	FUN_00114710
00114840	FUN_00114840
00114ca8	FUN_00114ca8
00115288	FUN_00115288
00115920	FUN_00115920
00115a90	FUN_00115a90
00115bf8	FUN_00115bf8
00115cf8	FUN_00115cf8
00115ea0	FUN_00115ea0
001160e0	FUN_001160e0
001163b8	FUN_001163b8
00116a78	FUN_00116a78
00116cb8	FUN_00116cb8
00116de0	FUN_00116de0
00116ea8	FUN_00116ea8
00116fe0	FUN_00116fe0
001171d8	FUN_001171d8
001173f8	FUN_001173f8
00117858	FUN_00117858
00117a48	FUN_00117a48
00118148	FUN_00118148
00118280	FUN_00118280
00118348	FUN_00118348
00118798	FUN_00118798
001188c8	FUN_001188c8
00118ce8	FUN_00118ce8
00118db8	FUN_00118db8
00119420	FUN_00119420
00119618	FUN_00119618
00119748	FUN_00119748
00119948	FUN_00119948
00119be0	FUN_00119be0
00119d88	FUN_00119d88
00119ec0	FUN_00119ec0
0011a0f8	FUN_0011a0f8
0011a1e0	FUN_0011a1e0
0011a298	Command_SetPlayerInput_Read
0011a628	Command_SetPlayerInput_Run
0011a898	FUN_0011a898
0011aad8	Command_SetPlayerRespawnPosition_Run
0011acb8	Command_LinkToFocusCharacter_Run
0011adb8	FUN_0011adb8
0011aec0	FUN_0011aec0
0011b208	FUN_0011b208
0011b2d0	FUN_0011b2d0
0011b3d0	FUN_0011b3d0
0011b558	Command_SwitchCharacter_Read
0011b670	Command_SwitchCharacter_Run
0011b7a0	Command_PlayerVehicleBounce_Run
0011b880	Command_SetAgent_Read
0011bb80	Command_SetAgent_Run
0011bdb8	FUN_0011bdb8
0011be80	GetColor
0011bea0	SetColourRGB
0011bf10	AngleToFixed
0011bf78	FUN_0011bf78
0011bfa0	RSQRT
0011c008	MovePositionFromPos2ToPos1
0011c018	GetPositionFromRTS
0011c028	Vector4InverseLengthIfAbove
0011c088	RemoveReference
0011c1c8	MoveShortFromS2toS1
0011c1d8	SetUndefinedID?
0011c1e8	ResetBoundingBox
0011c220	FUN_0011c220
0011c250	FUN_0011c250
0011c2e8	FUN_0011c2e8
0011c2f0	FUN_0011c2f0
0011c3b0	FUN_0011c3b0
0011c400	FUN_0011c400
0011c428	FUN_0011c428
0011c448	FUN_0011c448
0011c450	FUN_0011c450
0011c4b0	FUN_0011c4b0
0011c518	FUN_0011c518
0011c590	FUN_0011c590
0011c5b8	FUN_0011c5b8
0011c5e0	FUN_0011c5e0
0011c608	FUN_0011c608
0011c628	Command_AddCrystal_Run
0011c660	FUN_0011c660
0011c688	Command_AddGem_Run
0011c6c0	FUN_0011c6c0
0011c6e0	Command_CA_PickUpHealth_Run
0011c718	FUN_0011c718
0011c740	Command_DUMMY_538_Run
0011c778	FUN_0011c778
0011c7a0	Command_CA_PickUpWumpa_Run
0011c7d8	FUN_0011c7d8
0011c800	FUN_0011c800
0011c830	FUN_0011c830
0011c860	FUN_0011c860
0011c890	FUN_0011c890
0011c8b8	FUN_0011c8b8
0011c8e0	FUN_0011c8e0
0011c910	FUN_0011c910
0011c930	FUN_0011c930
0011c938	FUN_0011c938
0011c970	FUN_0011c970
0011c9a8	FUN_0011c9a8
0011c9e0	FUN_0011c9e0
0011ca10	FUN_0011ca10
0011ca40	FUN_0011ca40
0011ca78	FUN_0011ca78
0011cab0	FUN_0011cab0
0011cae0	FUN_0011cae0
0011cb18	FUN_0011cb18
0011cb40	Command_DisablePlayerControl_Read
0011cb50	FUN_0011cb50
0011cb78	FUN_0011cb78
0011cba8	FUN_0011cba8
0011cbd0	FUN_0011cbd0
0011cc00	FUN_0011cc00
0011cc28	FUN_0011cc28
0011cc58	FUN_0011cc58
0011ccd0	InitGetShortRouteCommand
0011cea0	FUN_0011cea0
0011cec8	FUN_0011cec8
0011cef8	FUN_0011cef8
0011cf50	FUN_0011cf50
0011cfa0	FUN_0011cfa0
0011cfc8	FUN_0011cfc8
0011cff0	FUN_0011cff0
0011d048	FUN_0011d048
0011d070	FUN_0011d070
0011d098	FUN_0011d098
0011d0f8	FUN_0011d0f8
0011d120	FUN_0011d120
0011d148	FUN_0011d148
0011d170	FUN_0011d170
0011d198	FUN_0011d198
0011d1c0	FUN_0011d1c0
0011d1e8	FUN_0011d1e8
0011d210	FUN_0011d210
0011d240	FUN_0011d240
0011d268	FUN_0011d268
0011d290	Command_BottomTextClear_Read
0011d2a0	FUN_0011d2a0
0011d2f0	FUN_0011d2f0
0011d320	FUN_0011d320
0011d350	FUN_0011d350
0011d378	FUN_0011d378
0011d3a0	FUN_0011d3a0
0011d3c8	FUN_0011d3c8
0011d3f0	FUN_0011d3f0
0011d420	FUN_0011d420
0011d4a0	InitRequestFocusCommand
0011d708	FUN_0011d708
0011d730	FUN_0011d730
0011d780	FUN_0011d780
0011d7a8	FUN_0011d7a8
0011d7d0	FUN_0011d7d0
0011d7f8	FUN_0011d7f8
0011d820	FUN_0011d820
0011d848	FUN_0011d848
0011d878	FUN_0011d878
0011d8a0	FUN_0011d8a0
0011d8d8	FUN_0011d8d8
0011d900	FUN_0011d900
0011d930	FUN_0011d930
0011d960	FUN_0011d960
0011d990	FUN_0011d990
0011d9c0	FUN_0011d9c0
0011d9f0	FUN_0011d9f0
0011da40	FUN_0011da40
0011da68	FUN_0011da68
0011da98	FUN_0011da98
0011dac0	FUN_0011dac0
0011dae8	FUN_0011dae8
0011db18	FUN_0011db18
0011db48	FUN_0011db48
0011db78	FUN_0011db78
0011dbb0	FUN_0011dbb0
0011dbd8	FUN_0011dbd8
0011dc08	FUN_0011dc08
0011dc30	FUN_0011dc30
0011dc58	FUN_0011dc58
0011dc88	FUN_0011dc88
0011dcb8	FUN_0011dcb8
0011dce8	FUN_0011dce8
0011dd18	FUN_0011dd18
0011dd40	FUN_0011dd40
0011dd70	FUN_0011dd70
0011dda0	FUN_0011dda0
0011ddd0	FUN_0011ddd0
0011ddf8	FUN_0011ddf8
0011de20	FUN_0011de20
0011dec8	FUN_0011dec8
0011def0	FUN_0011def0
0011df20	FUN_0011df20
0011df58	FUN_0011df58
0011df88	FUN_0011df88
0011e108	FUN_0011e108
0011e1d8	FUN_0011e1d8
0011e1e0	Condition_Next_Read
0011e210	CheckConditionAlways
0011e220	Condition_GotFocusPosition_Read
0011e250	Condition_GotFocusPosition_Check
0011e270	Condition_GotFocusObject_Read
0011e2a0	Condition_GotFocusObject_Check
0011e2c0	FUN_0011e2c0
0011e2f0	FUN_0011e2f0
0011e300	FUN_0011e300
0011e330	FUN_0011e330
0011e340	FUN_0011e340
0011e370	FUN_0011e370
0011e388	FUN_0011e388
0011e428	FUN_0011e428
0011e4c8	InitInstanceNodeType1
0011e570	FUN_0011e570
0011e5b8	FUN_0011e5b8
0011e600	FUN_0011e600
0011e658	FUN_0011e658
0011e698	ResetInstanceCollisionTransform
0011e708	FUN_0011e708
0011e750	UpdateInstanceNodeType1
0011e7a8	FUN_0011e7a8
0011e848	FUN_0011e848
0011e890	FUN_0011e890
0011e9c8	FUN_0011e9c8
0011ea18	GetOrCreateInstanceParticles
0011ea70	FUN_0011ea70
0011eaa8	ClearScriptPackSlots
0011eb70	InitTriggerEvent
0011eca0	FUN_0011eca0
0011ecf8	FUN_0011ecf8
0011ed30	FUN_0011ed30
0011edd8	FUN_0011edd8
0011edf8	FUN_0011edf8
0011ee48	FUN_0011ee48
0011ee98	FUN_0011ee98
0011eef0	FUN_0011eef0
0011ef50	FUN_0011ef50
0011efb8	FUN_0011efb8
0011f068	FUN_0011f068
0011f098	FUN_0011f098
0011f128	FUN_0011f128
0011f150	Command_NowGoBackCollidable_Read
0011f1e0	Command_NowGoBackCollidable_Run
0011f2b8	Command_SetChiChiGrass_Run
0011f370	InitDUMMY_SetRayTestsCommand
0011f3b0	Command_BecomeSticky_Run
0011f468	Command_BecomeNormal_Run
0011f4d0	FUN_0011f4d0
0011f580	FUN_0011f580
0011f5b8	FUN_0011f5b8
0011f5e8	Command_CreateCrateContents_Run
0011f658	InitReduceHitPointsCommand
0011f680	FUN_0011f680
0011f708	FUN_0011f708
0011f780	InitSetHitPointsCommand
0011f7a8	FUN_0011f7a8
0011f830	FUN_0011f830
0011f8e8	FUN_0011f8e8
0011fac8	Command_DamageOriginator_Read
0011fb58	FUN_0011fb58
0011fc18	FUN_0011fc18
0011fc48	Command_DUMMY_584_Run
0011fc50	Command_SetCamera_Read
0011fd20	Command_CameraFocusObject_Read
0011fd28	Command_CameraStopFocusObject_Read
0011fd30	Command_RestoreCameraDefaults_Run
0011fd98	FUN_0011fd98
0011fea8	FUN_0011fea8
0011fef0	FUN_0011fef0
0011ff40	FUN_0011ff40
0011ff60	Command_ResetCamera_Run
0011ffc8	Command_DUMMY_609_Run
0011ffd0	Command_DUMMY_610_Run
0011ffd8	FUN_0011ffd8
00120080	FUN_00120080
00120128	FUN_00120128
001201d0	Command_ResetGame_Run
001201f8	Command_SetPlayerMode_Run
00120268	FUN_00120268
00120328	FUN_00120328
00120440	FUN_00120440
00120500	FUN_00120500
001205c8	Command_CutsceneStart_Read
00120658	Command_CutsceneStart_Run
00120698	Command_CutsceneEnd_Read
00120728	Command_CutsceneEnd_Run
00120768	Command_BossModeEnable_Read
00120840	Command_BossModeEnable_Run
00120918	Command_BossModeDamage_Read
001209a8	Command_BossModeDamage_Run
001209d0	Command_BossModeExit_Run
001209f8	Command_WhackawormStart_Read
00120ad0	Command_WhackawormStart_Run
00120bc8	Command_WhackawormProgress_Read
00120c58	Command_WhackawormProgress_Run
00120c80	Command_WhackawormEnd_Run
00120ca8	Command_PlayCredits_Run
00120cd0	Command_ForceGameOver_Run
00120cf8	Command_BottomTextShow_Read
00120d88	Command_BottomTextShow_Run
00120dc0	Command_BottomTextHide_Read
00120e50	Command_BottomTextHide_Run
00120e88	Command_DemoHubMusicFlagOn_Run
00120e98	Command_BottomTextDisplay_Run
00120f68	Command_BottomTextClear_Run
00120f98	Command_PlayMovie_Run
00121018	FUN_00121018
001210a8	FUN_001210a8
00121130	InitRaycastFocusPositionCommand
00121168	Command_SetFocusToPlayer_Run
001211e0	FUN_001211e0
00121240	FUN_00121240
00121300	FUN_00121300
00121398	FUN_00121398
00121438	FUN_00121438
00121480	FUN_00121480
001214e8	FUN_001214e8
00121548	FUN_00121548
001215d8	FUN_001215d8
001216a8	FUN_001216a8
001216d8	InitSetKeyNearestPlayerCommand
00121718	FUN_00121718
