# Names for Crash Twinsanity's PAL executable (SLES_525.68), applied by tools/re/ghidra.py import.
# address	kind	name	detail        kind F = function (detail = prototype), L = label (detail = data type)
00107094	F	BuildCondition_YCycle	void BuildCondition_YCycle(void)
001070b0	F	BuildCondition_ZCycle	void BuildCondition_ZCycle(void)
001071c8	F	BuildCondition_MeToFocusSqrDist	void BuildCondition_MeToFocusSqrDist(void)
001071e4	F	BuildCondition_DistanceToTarget_Duplicate	void BuildCondition_DistanceToTarget_Duplicate(void)
00107200	F	BuildCondition_MeToInitPosSqrDist	void BuildCondition_MeToInitPosSqrDist(void)
0010721c	F	BuildCondition_MeToCurrentKeySqrDist	void BuildCondition_MeToCurrentKeySqrDist(void)
00107238	F	BuildCondition_MeToKeySqrDist	void BuildCondition_MeToKeySqrDist(void)
00107270	F	BuildCondition_SpeedTowardsNextKey	void BuildCondition_SpeedTowardsNextKey(void)
0010728c	F	BuildCondition_SpeedTowardsKey	void BuildCondition_SpeedTowardsKey(void)
001072a8	F	BuildCondition_BoxAboveIsOverlapped	void BuildCondition_BoxAboveIsOverlapped(void)
001072c4	F	BuildCondition_IsCollidable	void BuildCondition_IsCollidable(void)
001072e0	F	BuildCondition_IsVisible	void BuildCondition_IsVisible(void)
001072fc	F	BuildCondition_IsLoadZoneStateSet	void BuildCondition_IsLoadZoneStateSet(void)
00107318	F	BuildCondition_GotUserMessageEquals	void BuildCondition_GotUserMessageEquals(void)
00107334	F	BuildCondition_GotAnyUserMessage	void BuildCondition_GotAnyUserMessage(void)
0010736c	F	BuildCondition_InsideEdgeStartNode	void BuildCondition_InsideEdgeStartNode(void)
00107388	F	BuildCondition_InsideEdgeEndNode	void BuildCondition_InsideEdgeEndNode(void)
00107468	F	BuildCondition_MeFacingFocus	void BuildCondition_MeFacingFocus(void)
001074bc	F	BuildCondition_HeadLookingAtFocus	void BuildCondition_HeadLookingAtFocus(void)
00107510	F	BuildCondition_SubtypeOfPercept128_1	void BuildCondition_SubtypeOfPercept128_1(void)
00107540	F	BuildCondition_SubtypeOfPercept128_2	undefined4 * BuildCondition_SubtypeOfPercept128_2(void)
00107578	F	BuildCondition_SubtypeOfPercept128_3	undefined4 * BuildCondition_SubtypeOfPercept128_3(void)
