# address	kind	text        kind 3 = plate, 1 = pre, 0 = end of line, 2 = post; newlines escaped
002c3788	3	Library Function - Single Match\nName: scePadInfoMode\nLibrary: ps2_sdk 3.0.3 libpad
002c38c0	3	Library Function - Single Match\nName: scePadSetMainMode\nLibrary: ps2_sdk 3.0.3 libpad
002c3978	3	Library Function - Single Match\n scePadSetActDirect\n\nLibrary: ps2_sdk 3.0.3 libpad
002c3a40	3	Library Function - Single Match\nName: scePadSetActAlign\nLibrary: ps2_sdk 3.0.3 libpad
002c3b18	3	Library Function - Single Match\nName: scePadGetButtonMask\nLibrary: ps2_sdk 3.0.3 libpad
002c3bc8	3	Library Function - Single Match\nName: scePadSetButtonInfo\nLibrary: ps2_sdk 3.0.3 libpad
002c3cd8	3	Library Function - Single Match\nName: scePadEnterPressMode\nLibrary: ps2_sdk 3.0.3 libpad
002c3dc0	3	Library Function - Single Match\nName: cmd_sem_init\nLibrary: ps2_sdk 3.0.3 libcdvd
002c3ea8	3	Library Function - Single Match\nName: cdvd_exit\nLibrary: ps2_sdk 3.0.3 libcdvd
002c3f48	3	Library Function - Single Match\n _sceCd_Poff_Intr\n\nLibrary: ps2_sdk 3.0.3 libcdvd
002c3fa0	3	Library Function - Single Match\n PowerOffCB\n\nLibrary: ps2_sdk 3.0.3 libcdvd
002c4018	3	Library Function - Single Match\nName: sceCdLayerSearchFile\nLibrary: ps2_sdk 3.0.3 libcdvd
002c4318	3	Library Function - Single Match\nName: sceCdSearchFile\nLibrary: ps2_sdk 3.0.3 libcdvd
002c4338	3	Library Function - Single Match\nName: _sceCd_ncmd_prechk\nLibrary: ps2_sdk 3.0.3 libcdvd
002c4490	3	Library Function - Single Match\nName: sceCdSync\nLibrary: ps2_sdk 3.0.3 libcdvd
002c4530	3	Library Function - Single Match\nName: sceCdSyncS\nLibrary: ps2_sdk 3.0.3 libcdvd
002c45a0	3	Library Function - Single Match\nName: _sceCd_scmd_prechk\nLibrary: ps2_sdk 3.0.3 libcdvd
002c46f8	3	Library Function - Single Match\nName: sceCdInit\nLibrary: ps2_sdk 3.0.3 libcdvd
002c49e0	3	Library Function - Single Match\nName: sceCdDiskReady_old\nLibrary: ps2_sdk 3.0.3 libcdvd
002c4bf8	3	Library Function - Single Match\nName: sceCdDiskReady\nLibrary: ps2_sdk 3.0.3 libcdvd
002c4e18	3	Library Function - Multiple Matches With Different Base Names\nName: sceCdGetDiskType2, sceCdGetError\nLibrary: ps2_sdk 3.0.3 libcdvd
002c4eb0	3	Library Function - Single Match\nName: sceCdBreak\nLibrary: ps2_sdk 3.0.3 libcdvd
002c4f68	3	Library Function - Single Match\nName: sceCdMmode\nLibrary: ps2_sdk 3.0.3 libcdvd
002c5040	3	Library Function - Single Match\nName: sceCdReadClock\nLibrary: ps2_sdk 3.0.3 libcdvd
002c5100	3	Library Function - Single Match\nName: sceCdStInit\nLibrary: ps2_sdk 3.0.3 libcdvd
002c5130	3	Library Function - Multiple Matches With Different Base Names\nName: sceCdStStart, sceCddaStStart\nLibrary: ps2_sdk 3.0.3 libcdvd
002c5170	3	Library Function - Multiple Matches With Different Base Names\nName: sceCdStSeek, sceCdStSeekF, sceCddaStSeek, sceCddaStSeekF\nLibrary: ps2_sdk 3.0.3 libcdvd
002c51a0	3	Library Function - Multiple Matches With Different Base Names\nName: sceCdStStop, sceCddaStPause, sceCddaStStop\nLibrary: ps2_sdk 3.0.3 libcdvd
002c51d8	3	Library Function - Single Match\nName: sceCdStRead\nLibrary: ps2_sdk 3.0.3 libcdvd
002c5368	3	Library Function - Single Match\nName: sceCdStream\nLibrary: ps2_sdk 3.0.3 libcdvd
002c54d0	3	Library Function - Single Match\nName: sceSdRemoteInit\nLibrary: ps2_sdk 3.0.3 libsdr
002c5590	3	Library Function - Single Match\nName: sceSdRemote\nLibrary: ps2_sdk 3.0.3 libsdr
002c5b60	3	Library Function - Single Match\nName: sceMcOpen\nLibrary: ps2_sdk 3.0.3 libmc
002c5c88	3	Library Function - Single Match\nName: sceMcMkdir\nLibrary: ps2_sdk 3.0.3 libmc
002c5cc0	3	Library Function - Multiple Matches With Different Base Names\nName: sceMcClose, sceMcFlush\nLibrary: ps2_sdk 3.0.3 libmc
002c5e30	3	Library Function - Single Match\nName: sceMcRead\nLibrary: ps2_sdk 3.0.3 libmc
002c5f48	3	Library Function - Single Match\nName: sceMcWrite\nLibrary: ps2_sdk 3.0.3 libmc
002c60c0	3	Library Function - Single Match\nName: sceMcSync\nLibrary: ps2_sdk 3.0.3 libmc
002c61e0	3	Library Function - Single Match\nName: sceMcGetInfo\nLibrary: ps2_sdk 3.0.3 libmc
002c6360	3	Library Function - Single Match\nName: sceMcGetDir\nLibrary: ps2_sdk 3.0.3 libmc
002c64b0	3	Library Function - Single Match\n mceStorePwd\n\nLibrary: ps2_sdk 3.0.3 libmc
002c6540	3	Library Function - Single Match\nName: sceMcChdir\nLibrary: ps2_sdk 3.0.3 libmc
002c6680	3	Library Function - Multiple Matches With Different Base Names\nName: sceMcFormat, sceMcUnformat\nLibrary: ps2_sdk 3.0.3 libmc
